ixdat version = 0.2.5
name = C:\Users\scott\Dropbox\ixdat_resources\test_data\sec\test-7SEC.csv
technique = EC-Optical
tstamp = 1
backend_name = BackendBase(none, address=none)
id = 1
timecol 'time from scan rate' for: '$U_{RHE}$ / [V]' and 'J / [mA cm$^{-2}$]' and 'selector'
aliases = {"raw_potential": ["$U_{RHE}$ / [V]"], "raw_current": ["J / [mA cm$^{-2}$]"], "t": ["time from scan rate"]}
'spectrum_series' in file: 'exported_sec_spectra.csv'
'reference_spectrum' in file: 'exported_sec_reference.csv'
N_header_lines = 13

time from scan rate,	$U_{RHE}$ / [V],	J / [mA cm$^{-2}$],	selector
205.00000000000006,	0.865,	0.031065400000000003,	0
206.00000000000006,	0.866,	0.031202599999999997,	0
207.00000000000006,	0.867,	0.031090400000000004,	0
208.00000000000006,	0.868,	0.031040500000000002,	0
209.00000000000006,	0.869,	0.030803499999999998,	0
210.00000000000006,	0.87,	0.0313024,	0
211.00000000000006,	0.871,	0.031028,	0
212.00000000000006,	0.872,	0.030778599999999996,	0
213.00000000000006,	0.873,	0.0312525,	0
214.00000000000006,	0.874,	0.031053,	0
215.00000000000006,	0.875,	0.0307911,	0
216.00000000000006,	0.876,	0.0308534,	0
217.00000000000006,	0.877,	0.030840899999999997,	0
218.00000000000006,	0.878,	0.0308908,	0
219.00000000000006,	0.879,	0.030741200000000003,	0
220.00000000000006,	0.88,	0.0303046,	0
221.00000000000006,	0.881,	0.030865899999999998,	0
222.00000000000006,	0.882,	0.030840899999999997,	0
223.00000000000006,	0.883,	0.030641400000000003,	0
224.00000000000006,	0.884,	0.030741200000000003,	0
225.00000000000006,	0.885,	0.0304543,	0
226.00000000000006,	0.886,	0.0303919,	0
227.00000000000006,	0.887,	0.030741200000000003,	0
228.00000000000006,	0.888,	0.0303795,	0
229.00000000000006,	0.889,	0.030366999999999998,	0
230.00000000000006,	0.89,	0.030329599999999998,	0
231.00000000000006,	0.891,	0.0302672,	0
232.00000000000006,	0.892,	0.0305042,	0
233.00000000000006,	0.893,	0.030366999999999998,	0
234.00000000000006,	0.894,	0.0299429,	0
235.00000000000006,	0.895,	0.0300427,	0
236.00000000000006,	0.896,	0.0301051,	0
237.00000000000006,	0.897,	0.0300053,	0
238.00000000000006,	0.898,	0.0295189,	0
239.00000000000006,	0.899,	0.029830699999999998,	0
240.00000000000006,	0.9,	0.030192399999999998,	0
241.00000000000006,	0.901,	0.029755900000000002,	0
242.00000000000006,	0.902,	0.0296311,	0
243.00000000000006,	0.903,	0.029868099999999998,	0
244.00000000000006,	0.904,	0.029431600000000002,	0
245.00000000000006,	0.905,	0.0295688,	0
246.00000000000006,	0.906,	0.0293692,	0
247.00000000000006,	0.907,	0.0294565,	0
248.00000000000006,	0.908,	0.0291821,	0
249.00000000000006,	0.909,	0.0295189,	0
250.00000000000006,	0.91,	0.029481499999999997,	0
251.00000000000006,	0.911,	0.0293069,	0
252.00000000000006,	0.912,	0.029107300000000003,	0
253.00000000000006,	0.913,	0.029107300000000003,	0
254.00000000000006,	0.914,	0.029107300000000003,	0
255.00000000000006,	0.915,	0.0289701,	0
256.00000000000006,	0.916,	0.0290574,	0
257.00000000000006,	0.917,	0.0290948,	0
258.00000000000006,	0.918,	0.0285461,	0
259.00000000000006,	0.919,	0.028832899999999998,	0
260.00000000000006,	0.92,	0.028683300000000002,	0
261.00000000000006,	0.921,	0.028832899999999998,	0
